,1-2,2-3,2-28,3-4,4-5,4-16,5-4,5-6,5-8,6-5,6-7,7-6,7-9,7-10,8-9,8-14,9-7,9-10,9-13,10-7,10-11,11-10,11-19,12-18,13-9,13-14,13-12,13-17,14-8,14-13,14-16,15-21,15-29,16-4,16-15,16-14,16-17,17-13,17-16,17-18,17-21,18-17,18-19,19-18,19-11,19-20,20-19,20-21,20-23,21-15,21-17,21-20,21-22,22-21,22-24,22-29,23-20,23-22,23-25,25-23,25-26,24-22,24-25,24-27,26-27,26-25,27-26,27-30,28-24,28-2,29-28,29-3,30-1,30-27
6-7,0.8416892782846311,0.8463083762995529,0.3273318262023052,0.892530170968669,0.8840021709384199,0.790191963643639,0.7576597995299515,0.9033685490874254,0.6809666205981951,0.8288081254512492,1.0,0.8554393462327685,0.7418995469068648,0.9152099467694522,0.39006665060417844,,0.7778012943562932,0.5613463729310748,0.7717968024985014,0.8113425200796369,0.8887078862755525,0.7958849481349257,0.8305073115516437,,0.7666618063339059,,,0.7547669727876447,,,,,,0.841752352307236,0.8084996766076312,,0.8503710094552613,0.7502834933957101,0.8637648109181063,0.9086025050053029,0.4059182185213719,0.8490773759348271,0.8434658560064214,0.8718161500560957,0.7379325598063514,0.6111163830678928,0.6777450201943357,,0.5618639991279601,,0.15765267552703607,,0.27851178156056977,0.32953914473032636,0.3897430488066052,0.16257828419002265,0.646548541888796,0.32189444886051216,0.7804884060862309,0.623732417679828,0.7635560409579778,0.07685526008797529,0.47424039489028935,0.7731267153211856,0.7912147327815037,0.7723813453298873,0.7704882887735275,0.8135995083283819,0.37791237580169657,,,0.31049984238632244,0.7799128213267674,0.8389454259522647
7-6,0.7661216493623106,0.8303891826599256,0.2748726999415113,0.8662454797343214,0.879325099441972,0.7649147072817801,0.7495106640152673,0.8951656120992536,0.6578033380625204,0.7752250915043546,0.8554393462327685,1.0,0.7804171681211992,0.8481093555721956,0.44747901550577934,,0.9095409372129043,0.6179843850350708,0.7167457363130476,0.9346739553354322,0.8953574198484098,0.8635780153172076,0.8473651444706064,,0.8568033079288628,,,0.7887172720867801,,,,,,0.9066714099159037,0.8615032758704609,,0.7701090092562771,0.76328791051561,0.8684754775867418,0.8620502022905763,0.3144309711543717,0.8699317189168342,0.785250540463583,0.860048014463161,0.7912578830086044,0.4894702547234224,0.6342276822600581,,0.5159624035691356,,0.009059372853988735,,0.18896139922106042,0.327959292227128,0.39346868787176725,0.12898785683872152,0.5391954124525508,0.2295484995581962,0.72171409341231,0.5161379107024184,0.7878766589992713,0.059845318780270274,0.5125417220523417,0.7861411705870819,0.7446127186683138,0.6958597662373948,0.7901867566170008,0.7854101791496855,0.4165006592945868,,,0.3210282283924783,0.7287760990346388,0.8175621126644371
7-9,0.6415776482521309,0.6735152153837872,0.12160450806770354,0.740808805553773,0.7574162071721537,0.6490116290749928,0.5970250539242322,0.7755759908140637,0.47794668309728294,0.6407062517943846,0.7418995469068648,0.7804171681211992,1.0,0.741705720292376,0.27401600893615163,,0.7885638854261963,0.48333127340076404,0.8310366640582153,0.7686862386933092,0.7563854740036858,0.7163634996408482,0.7553479456298543,,0.7498235071740154,,,0.7608290416652268,,,,,,0.7559269338896738,0.7116894012460635,,0.6621447451444956,0.6711254345352745,0.7420541942654263,0.6943743958936843,0.38091952878789964,0.6807478364143444,0.6481624655980716,0.6903904934615485,0.6841967670469592,0.5162392103904969,0.5706825168261607,,0.4227582968431318,,0.070442685337893,,0.2058884022538366,0.2670737969402242,0.3201979616165348,0.13595249162556272,0.4354964190502817,0.19961381198694592,0.6167300289556101,0.3711401501079159,0.641739956857138,0.04740485214748823,0.38955147021121467,0.6196359652524177,0.5903174921371207,0.6114391593232302,0.718728269226901,0.5862901472271945,0.3103628363102028,,,0.2730689592424551,0.55033789471611,0.7076427159386777
7-10,0.8263308882854975,0.8403941217172105,0.2884792629884348,0.8657956371175912,0.8731621424648298,0.7916045253230692,0.7365607888242134,0.8944673445624375,0.7035022358685701,0.7567642431992234,0.9152099467694522,0.8481093555721956,0.741705720292376,1.0,0.48631216823676593,,0.7912447892530433,0.5948477458769966,0.7385175368157999,0.8410904262626281,0.907027106153111,0.8570634913110213,0.8412370174836471,,0.7612901320446417,,,0.7704767866427497,,,,,,0.8311933664949708,0.8020764037668832,,0.820727430506379,0.7674078279511342,0.8448259197688806,0.8885895317578478,0.3892561553232666,0.8411445648836741,0.8263559736703465,0.8560758341846605,0.7712065346348153,0.6060200553046486,0.7123016561897269,,0.5784731013662071,,0.17084700626396226,,0.22537912956589098,0.29605200287630556,0.3878499784286623,0.16213054339656144,0.7029143409969597,0.2959273966133185,0.7831799357912239,0.6524405716807707,0.8002420670114717,0.011618239361370547,0.5254403324635947,0.8136088876536347,0.8003944681081235,0.7942960934081587,0.7914194293347533,0.7904187598366601,0.37800469923339824,,,0.3289223527670965,0.7283270895119041,0.8490626862980077
8-9,0.43735536169129463,0.4551229892238379,-0.0022372589664682017,0.42408608542187143,0.4127750941587338,0.3969619800611265,0.3228323925969791,0.4267265926426454,0.6785487019379758,0.2785238637390545,0.39006665060417844,0.44747901550577934,0.27401600893615163,0.48631216823676593,1.0,,0.4489598852346167,0.4845557763073687,0.19550696503934767,0.4075963656789875,0.4488613510946051,0.4650920436685021,0.3903968501264942,,0.3902386628929892,,,0.49758263239918354,,,,,,0.4231430241339131,0.3930404496492197,,0.3584120351755514,0.37474764474325795,0.43175244379472594,0.4391297384875564,0.23513095132039488,0.4489683035039054,0.3918616570480644,0.424601246765895,0.4475222244424887,0.3244673491031724,0.3399077928932878,,0.17435107968491595,,0.08392759255601222,,0.12561021555958649,0.05953946561130525,0.1123207066521291,-0.02194049091095264,0.3312923625808907,0.320376278551326,0.303302992066949,0.3608854534353434,0.5553767634441901,-0.054352996810508626,0.531919776613941,0.5995181380791504,0.4111821435139013,0.43651590326436074,0.4105511681924295,0.3985168437878371,0.19050950527056784,,,0.20303280432957382,0.3305585992788193,0.4675011639480144
8-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-7,0.6903740994461636,0.7862800618256203,0.22106908058140196,0.84662879457655,0.8555748947275027,0.7112069947750791,0.6496903153965989,0.8640769088434275,0.6113234011819827,0.6641020155572952,0.7778012943562932,0.9095409372129043,0.7885638854261963,0.7912447892530433,0.4489598852346167,,1.0,0.6125849453998826,0.6911702103886121,0.9050181571248691,0.8628710523702104,0.8432917857017024,0.8577848959299333,,0.9106456708645019,,,0.8156344074242429,,,,,,0.8678620207321025,0.8325767881212391,,0.6785875444829164,0.8007982712836984,0.8186999802289757,0.7706601247651195,0.30462948083515434,0.8111922874522967,0.7280376811092518,0.8068405440625946,0.8148512578621754,0.5258840803408418,0.6513792216789903,,0.44894482193311225,,0.03527498111662653,,0.1430403219558562,0.27726499185386594,0.3048254219353269,0.05687630708631556,0.5513867596019175,0.17895130624464609,0.6303573126875824,0.4513001959718937,0.6988479742568967,0.08272307030109026,0.4585472608942726,0.6952885216911431,0.6556444059910694,0.644658193436811,0.7705255016857332,0.6810431763331805,0.3743696784161436,,,0.29985569526497746,0.6177786566654839,0.759556524619326
9-10,0.5208634638902969,0.5918495145841735,0.17819844163531084,0.5933299994007062,0.5887243858431267,0.5506279163924671,0.559444902160313,0.5838830817913677,0.591899427821043,0.4814641854873882,0.5613463729310748,0.6179843850350708,0.48333127340076404,0.5948477458769966,0.4845557763073687,,0.6125849453998826,1.0,0.40015812308929144,0.6167026522936784,0.6288876043148799,0.6103536932011889,0.5909754422367649,,0.517440121647902,,,0.5449997109815786,,,,,,0.568049904295191,0.5608803647346279,,0.47647812869206024,0.5330737252763333,0.5816578733787016,0.5871190397148373,0.2921012990561609,0.5591539056382737,0.5947298491813958,0.6169658926979097,0.6002887524264868,0.41049389829601274,0.5115509056057794,,0.3779346820272872,,0.15269955836844928,,0.20072443274884882,0.2089628312728664,0.19653039163723743,0.026006347399213186,0.47630745728331375,0.11467467404993006,0.46126971522152466,0.43516948505456376,0.5342823769667471,0.09838745987436984,0.3198237120239321,0.5294998574170677,0.5365300577080641,0.5328270984320477,0.5594281279843061,0.544418547607638,0.25607002498766007,,,0.2421478108276079,0.5034101954573422,0.5920230456415133
9-13,0.6730875479465297,0.6782965102668207,0.18816343984328635,0.7678416541331184,0.7729834807297801,0.6757736793575277,0.6166835123036899,0.7706396092594121,0.4705888705553537,0.65279337264661,0.7717968024985014,0.7167457363130476,0.8310366640582153,0.7385175368157999,0.19550696503934767,,0.6911702103886121,0.40015812308929144,1.0,0.6844463800876086,0.7195753357333233,0.6359984501101729,0.7191957389270361,,0.7152778568815612,,,0.8120047706428275,,,,,,0.729701790279377,0.7010629700968563,,0.7251605428017254,0.6896836484823804,0.7570999580665412,0.7207370368447161,0.4044055122382941,0.678870571111062,0.6514225386120377,0.6665231085607322,0.6640452495684879,0.5795021404765438,0.549035696445558,,0.48036649398947273,,0.10265655664562048,,0.22264366799832105,0.2296676087731078,0.29076744056061005,0.15292958569072237,0.5021838490053793,0.2169132375888275,0.6255520335174471,0.47142733540844933,0.5610815030545134,0.026208457343877164,0.32312946425199607,0.5729100433143928,0.6265409673663589,0.6129771638890645,0.6763927790573034,0.6257753970011077,0.24624375431700085,,,0.27005542887920264,0.6042854531167756,0.6872021302175519
10-7,0.6952930926361289,0.7732535575377979,0.26303014542169634,0.8246505900267835,0.8357025624821128,0.7087480634716963,0.673575071127761,0.8422701317955736,0.6096091315723923,0.7009288503618406,0.8113425200796369,0.9346739553354322,0.7686862386933092,0.8410904262626281,0.4075963656789875,,0.9050181571248691,0.6167026522936784,0.6844463800876086,1.0,0.879890574702474,0.9065703811046206,0.8326473049048246,,0.8315817044416968,,,0.7817497140753867,,,,,,0.8551384399597871,0.8354337508467845,,0.7017101330890744,0.7746255565576502,0.8233910469597641,0.7954631552347909,0.3067841736386989,0.8402949014600346,0.7374141622266942,0.8503343178284869,0.7960026475327356,0.4787083839609712,0.6634932564142184,,0.5367805460445809,,0.062356352859609304,,0.1575394310625524,0.27773083110929353,0.34670221874142054,0.117076278151283,0.5556545235617539,0.18845090521783914,0.6796146402614207,0.4835769204249285,0.7467944247355981,0.029368482074387976,0.49822579362141084,0.7422689497828578,0.6970305566509839,0.6711108021568837,0.7869272515757206,0.7203339184407547,0.3643869807180053,,,0.26496910275714514,0.6479299261927579,0.7863324207264066
